scouted_at,feed,purpose,account,post_url,post_id,post_time,post_age_h,relevance,likes,replies,reposts,shares,topic_hits,status,replied_at,reply_url,reply_angle,reply_text,text,notes
2026-07-23T06:14:36,running,reply,alexkung,https://www.threads.com/@alexkung/post/DbHMlQ8k46u,DbHMlQ8k46u,2026-07-22T22:46:58.000Z,7.5,35,109,3,0,20,跑步;半馬;配速;節奏跑;10K;越野跑;跑團;running;肌力;核心;深蹲;有氧;訓練;賽事;比賽;報名,candidate,,,,,"Running Threads
繳完台北馬報名費，代表訓練週期正式開始。但動輒30多度、濕度80-90%的夏天，實在很難提起勁出門。Ben Parkes在節目中分享一句話：「Summer miles for autumn smiles」那些炎熱潮濕中的里程，都是在為秋季比賽的好表現做準備。
1. 打好有氧基礎。以大量Zone 2輕鬆跑為主，並在跑後加入4-7趟、每趟20-30秒的Strides 加速跑，維持速度感。每週可擇一安排20分鐘節奏跑（10K 到半馬配速）、漸進跑（逐步加快至馬配），或5-8趟、每趟60-90秒的上坡反覆跑。
2. 補強弱點。加入深蹲、弓箭步、提踵、臀橋與棒式等肌力訓練，並改善步頻與擺臂。
3. 嘗試越野跑。林道較陰涼，也能訓練腳踝、核心與穩定肌群。放下配速壓力，在自然環境中跑步，也能讓訓練保持新鮮感。
5. 保留跑步的樂趣。參加壓力較低的小賽事、加入跑團、用Strava探索新路線。最難做到也最需要的，是偶爾放下手錶與數據，單純享受跑步。",Running Threads 繳完台北馬報名費，代表訓練週期正式開始。但動輒3
2026-07-23T06:14:36,running,reply,kandi5.bike.run,https://www.threads.com/@kandi5.bike.run/post/DbHdp5fD8oL,DbHdp5fD8oL,2026-07-23T01:16:09.000Z,5.0,23,147,32,5,87,跑步;跑者;馬拉松;半馬;全馬;PB;running;runner;訓練;報名,candidate,,,,,"跑步
🏃‍♀️ 2026 臺北馬訓練營整理
正在為臺北馬備賽、想找訓練營的跑者，可以參考以下資訊👇如果還有其他訓練營，也歡迎留言補充，一起讓資訊更完整！
① On Dream On 菁英馬拉松訓練營
成績資格：
・全馬：3 小時 00 分～3 小時 20 分
・半馬：1 小時 35 分內
報名截止：2026/7/24（五）
running.biji.co/index…
② BROOKS 挺你進百傑
成績資格：
・男子全馬：2 小時 40 分內
・女子全馬：3 小時 25 分內
報名截止：2026/8/17（一）中午 12:00
forms.gle/m8Xs2…
③ 2026 Saucony 突破 PB 訓練營
報名截止：2026/7/30（四）
irunner.biji.co/2026S…
1
/",跑步 🏃‍♀️ 2026 臺北馬訓練營整理 正在為臺北馬備賽、想找訓練營的跑者
2026-07-23T06:14:36,running,reply,helloiamthera,https://www.threads.com/@helloiamthera/post/DbGKc14E5fW,DbGKc14E5fW,2026-07-22T13:09:06.000Z,17.1,19,247,3,0,3,跑步;半馬;間歇;LSD;PB;running;重訓,candidate,,,,,"Running Threads
跑步魔力
😨有時候會突然遇到撞牆期：怎麼跑怎麼不對，間歇速度上不來、LSD跑不完、輕鬆跑還是累兮兮
🤩有時候像是吃了無敵星星：隨便不小心就破PB，輕輕鬆來個半馬都沒問題，什麼是撞牆都不知道！
但就是從來沒有想過：不跑了⋯
就是突然去重訓或是騎車兩天後，又好像會開始想念跑步的日子。
這大概就是跑步魔力吧
你也會嗎（底下分享你的故事",Running Threads 跑步魔力 😨有時候會突然遇到撞牆期：怎麼跑怎麼
2026-07-23T06:14:36,running,reply,little.missxs,https://www.threads.com/@little.missxs/post/DbHUkH6E8TF,DbHUkH6E8TF,2026-07-22T23:56:43.000Z,6.3,11,15,1,0,0,跑步;馬拉松;半馬;running,candidate,,,,,"Running Threads
🏃🏻‍♀️‍➡️長榮馬拉松倒數95天🏃🏻‍♀️
-
這週給自己目標要跑一個半馬 下班稍微拖到時間 但還是努力跑到20公里了
雖然還是很熱 但是明顯比前幾週稍微涼一點
路上也看到蠻多人在跑步的✨
繼續累積富邦RUN FOR GREEN全民線上跑活動🏃🏻‍♀️",Running Threads 🏃🏻‍♀️‍➡️長榮馬拉松倒數95天🏃🏻
2026-07-23T06:14:36,running,reply,pai0415,https://www.threads.com/@pai0415/post/DbGDWCYk_-n,DbGDWCYk_-n,2026-07-22T12:07:00.000Z,18.1,11,402,9,0,25,跑步;馬拉松;半馬;田徑,candidate,,,,,"跑步
❤️‍🔥🏃🏻‍♀️‍➡️💦
上週跑班小紀錄：
穿了超級可愛的跑步衣，厲害的衣服果然不一樣，超輕、排汗效果又好，對於連跑起來吹到的風都是又濕又悶熱的台北夏天，非常必要！下課後還很幸運的吃到存很久的福餃，點的每一道調味都讚讚，有夠好吃😋💕 好幸福嗚嗚
最近覺得能跑得比之前快一點點點、長距離一點點點🤏🏻我個人體感上略有進步，好像有稍微理解偶爾會聽到的那句跑步名言「沒有奇蹟，只有累積」了哈哈哈
2024跑完半馬荒廢了一年（？）後，突然地決定今年12月要去富士山馬拉松跑17公里，為了不像前年一樣跑到哭，所以開始在星期二上跑步課～為此還創了個限動精選，順便督促自己多多紀錄，只能說無論是跑步還是社群更新都需要面對那個不願努力的自己🤣
總之，繼續隨心所欲，跑下去吧！💪🏻
台北田徑場",跑步 ❤️‍🔥🏃🏻‍♀️‍➡️💦 上週跑班小紀錄： 穿了超級可愛的跑步衣
2026-07-23T06:14:36,running,reply,free._.__________,https://www.threads.com/@free._.__________/post/DbGhdwcj61v,DbGhdwcj61v,2026-07-22T16:30:12.000Z,13.8,10,23,12,0,1,跑量;月跑量;5K;42K,candidate,,,,,"徵跑友
中部地區有人平日練跑10-15k左右
假日長距離20-42k左右
不論天氣是否下雨都會練跑的人嗎？
月跑量能300以上佳
可以的話，安靜練跑就好
我懶得聊天🤣🤣🤣
有人有興趣嗎...",徵跑友 中部地區有人平日練跑10-15k左右 假日長距離20-42k左右 不論天
2026-07-23T06:14:36,running,reply,piyo730218,https://www.threads.com/@piyo730218/post/DbGRECKlf33,DbGRECKlf33,2026-07-22T14:06:53.000Z,16.1,10,17,1,0,0,路跑;LSD;跑量;報名,candidate,,,,,"還沒月底🈶破百的跑量，繼續累積到150K吧！
下個月想到要一次30公里的LSD練習，🈶點害怕，我到底能做到？
到底是那個瘋子找我報名冬山河水岸路跑的？",還沒月底🈶破百的跑量，繼續累積到150K吧！ 下個月想到要一次30公里的LSD
2026-07-23T06:14:36,running,reply,tfhcgchvch,https://www.threads.com/@tfhcgchvch/post/DbGC_LVmWcg,DbGC_LVmWcg,2026-07-22T12:03:53.000Z,18.2,10,25,20,0,0,半馬;配速;心率;PB,candidate,,,,,"今天下班安排一個半馬，竟然破了最佳個人PB，93分鐘完成21公里，平均配速426，平均心率145，最大心率190，這不是在做夢啊～我的天吶～😱👈
7月這種大熱天還能破PB不簡單，就算是晚上也是很熱，不過原本從96分進步到93分，不錯了啦～ 值得加許🥰👈
正努力的朝著90分鐘21公里邁進，我相信可以了🥰🏃",今天下班安排一個半馬，竟然破了最佳個人PB，93分鐘完成21公里，平均配速426
2026-07-23T06:14:36,running,reply,amy731316,https://www.threads.com/@amy731316/post/DbHRssLk1xk,DbHRssLk1xk,2026-07-22T23:31:40.000Z,6.7,9,16,4,0,0,跑步;半馬;配速,candidate,,,,,"重新開始跑步的第三天。
這三次刻意把速度放慢，不是因為跑不快，而是因為想把基礎打好。
第一次跑 7’24”/km，覺得還能跑。
第二次刻意降到 8’01”/km。
今天再放慢到 8’16”/km，
第一公里甚至跑到 8’53”。
以前一定會覺得：「怎麼越跑越慢？」
但現在開始理解，慢，不代表退步。
真正想完成半馬的人，
不是每一次都跑到最快，
而是讓自己一次又一次站上起跑線。
目前最大的敵人不是配速，
是路上的狗🐶😂",重新開始跑步的第三天。 這三次刻意把速度放慢，不是因為跑不快，而是因為想把基礎打
2026-07-23T06:14:36,running,reply,joelin_lcc,https://www.threads.com/@joelin_lcc/post/DbHVzEuErzz,DbHVzEuErzz,2026-07-23T00:07:30.000Z,6.1,8,39,39,39,39,跑步;半馬;5K,candidate,,,,,"今日漸速跑 5:37 >>> 3:44
原本預計跑個半馬
但是太熱了🥵
15K作收
能跑步的日子就是好日子❤️",今日漸速跑 5:37 >>> 3:44 原本預計跑個半馬 但是太熱了🥵 15K
